2023:12:30:19:21:00; 8337.909555912018; 3121845.1902844803; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s","ü","#'","x","q@","l","k","-_","b","j",".:","y","f","<>|"]
2023:12:30:19:22:44; 8442.466550588608; 3113527.7292818595; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@","l","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:24:31; 8548.91384100914; 3113527.7292818595; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@","l","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:26:15; 8652.569657564163; 3113527.7292818595; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@","l","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:28:00; 8757.984411001205; 3113527.7292818595; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@","l","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:29:41; 8858.841389894485; 3113527.7292818595; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@","l","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:31:24; 8961.660752773285; 3113527.7292818595; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@","l","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:33:07; 9065.228130578995; 3113527.7292818595; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@","l","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:34:51; 9169.12080669403; 3113527.7292818595; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@","l","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:36:34; 9271.620493888855; 3113527.7292818595; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@","l","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:38:19; 9377.10098195076; 3113527.7292818595; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@","l","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:40:05; 9482.87656712532; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:43:33; 9691.456674098969; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:45:20; 9798.438209056854; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:47:04; 9901.565478086472; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:48:45; 10003.150593042374; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:50:27; 10105.529659509659; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:52:11; 10208.970140695572; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:53:53; 10310.822478294373; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:55:36; 10413.896512746811; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:57:19; 10516.56442952156; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:19:59:02; 10620.139522075653; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:20:00:44; 10722.258233070374; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:20:02:29; 10826.6743786335; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:20:04:12; 10929.936027050018; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:20:05:55; 11033.177644491196; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
