2024:02:25:19:43:41; 6692.344175338745; 3273572.006192608; ["g","b","w","x","k","j",".:","ö","m","+*~",",;","<>|","r","i","t","u","a","ä","n","e€","d","s","l","-_","q@","o","y","h","p","c","ü","f","v","z","#'"]
2024:02:25:19:45:12; 6783.1566462516785; 3264224.3941460866; ["<>|","g","w","x","k","j",".:","f","m","v",",;","+*~","r","i","t","u","a","b","n","e€","d","s","l","-_","q@","o","y","h","p","c","ü","ö","z","ä","#'"]
2024:02:25:19:46:45; 6876.482770204544; 3234241.917811849; ["<>|","g","w","x","k","j",".:","ö","m","v",",;","+*~","r","i","t","u","a","b","n","e€","s","d","l","-_","q@","o","y","h","p","c","ü","f","ä","z","#'"]
2024:02:25:19:48:16; 6967.607726097107; 3234241.917811849; ["<>|","g","w","x","k","j",".:","ö","m","v",",;","+*~","r","i","t","u","a","b","n","e€","s","d","l","-_","q@","o","y","h","p","c","ü","f","ä","z","#'"]
2024:02:25:19:59:00; 7611.2461931705475; 3214475.189545046; ["<>|","g","w","x","k","j",".:","ö","m","ä",",;","+*~","r","i","t","u","a","b","n","e€","s","d","l","-_","q@","o","y","h","p","c","f","ü","v","z","#'"]
2024:02:25:21:12:20; 12011.39978146553; 3213384.832742973; [",;","g","w","x","ä","j","b",".:","m","z","v","-_","r","i","t","u","a","f","n","e€","s","d","l","+*~","#'","o","c","h","p","ü","y","ö","k","q@","<>|"]
2024:02:25:21:13:52; 12103.38445019722; 3206707.2761059664; [",;","g","f","x","k","j","b",".:","m","z","ä","+*~","r","i","t","u","a","w","n","e€","s","d","l","-_","<>|","o","c","h","p","ü","y","ö","v","q@","#'"]
2024:02:25:21:15:22; 12193.572154521942; 3206707.2761059664; [",;","g","f","x","k","j","b",".:","m","z","ä","+*~","r","i","t","u","a","w","n","e€","s","d","l","-_","<>|","o","c","h","p","ü","y","ö","v","q@","#'"]
2024:02:25:21:21:25; 12556.383457660675; 3194912.703333459; [",;","g","w","x","ü","j","b",".:","m","z","ä","+*~","r","i","t","u","a","f","n","e€","s","d","l","-_","<>|","o","c","h","p","ö","y","k","q@","v","#'"]
2024:02:25:21:22:56; 12647.524218082428; 3194912.703333459; [",;","g","w","x","ü","j","b",".:","m","z","ä","+*~","r","i","t","u","a","f","n","e€","s","d","l","-_","<>|","o","c","h","p","ö","y","k","q@","v","#'"]
2024:02:25:21:24:29; 12740.852482557297; 3179337.3829517732; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","n","e€","s","d","l","+*~","<>|","o","c","h","p","k","y","ö","ä","v","#'"]
2024:02:25:21:26:01; 12832.335488796234; 3179337.3829517732; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","n","e€","s","d","l","+*~","<>|","o","c","h","p","k","y","ö","ä","v","#'"]
2024:02:25:21:27:32; 12923.241831541061; 3179337.3829517732; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","n","e€","s","d","l","+*~","<>|","o","c","h","p","k","y","ö","ä","v","#'"]
2024:02:25:21:29:04; 13015.007548332214; 3179337.3829517732; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","n","e€","s","d","l","+*~","<>|","o","c","h","p","k","y","ö","ä","v","#'"]
2024:02:25:21:30:35; 13106.195119142532; 3179337.3829517732; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","n","e€","s","d","l","+*~","<>|","o","c","h","p","k","y","ö","ä","v","#'"]
2024:02:25:21:32:06; 13197.132683038712; 3179337.3829517732; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","n","e€","s","d","l","+*~","<>|","o","c","h","p","k","y","ö","ä","v","#'"]
2024:02:25:21:33:38; 13289.726500034332; 3179337.3829517732; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","n","e€","s","d","l","+*~","<>|","o","c","h","p","k","y","ö","ä","v","#'"]
2024:02:25:21:35:10; 13381.179678916931; 3179337.3829517732; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","n","e€","s","d","l","+*~","<>|","o","c","h","p","k","y","ö","ä","v","#'"]
2024:02:25:21:36:41; 13472.910629987717; 3179337.3829517732; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","n","e€","s","d","l","+*~","<>|","o","c","h","p","k","y","ö","ä","v","#'"]
2024:02:25:21:38:13; 13564.14503979683; 3179337.3829517732; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","n","e€","s","d","l","+*~","<>|","o","c","h","p","k","y","ö","ä","v","#'"]
2024:02:25:21:39:43; 13654.066948413849; 3179337.3829517732; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","n","e€","s","d","l","+*~","<>|","o","c","h","p","k","y","ö","ä","v","#'"]
2024:02:25:21:41:15; 13746.207585573196; 3179337.3829517732; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","n","e€","s","d","l","+*~","<>|","o","c","h","p","k","y","ö","ä","v","#'"]
2024:02:25:21:42:47; 13838.754489183426; 3179337.3829517732; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","n","e€","s","d","l","+*~","<>|","o","c","h","p","k","y","ö","ä","v","#'"]
2024:02:25:21:44:18; 13929.926381349564; 3179337.3829517732; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","n","e€","s","d","l","+*~","<>|","o","c","h","p","k","y","ö","ä","v","#'"]
2024:02:25:21:45:52; 14023.002541065216; 3164228.7811193382; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","p","ö","y","k","ä","v","#'"]
2024:02:25:21:47:24; 14115.033799171448; 3164228.7811193382; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","p","ö","y","k","ä","v","#'"]
2024:02:25:21:48:54; 14205.268146514893; 3151818.914087547; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","p","y","k","ö","v","ä","#'"]
2024:02:25:21:50:26; 14297.908814430237; 3146027.1461627204; [",;","g","w","x","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","#'","o","c","h","p","y","k","ö","ä","v","<>|"]
2024:02:25:21:51:56; 14387.908812522888; 3137110.686088266; [",;","g","w","x","p","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","y","h","ü","c","k","ö","ä","v","#'"]
2024:02:25:21:53:27; 14478.565062046051; 3136201.1369537795; [",;","g","w","x","p","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","ü","y","k","ö","ä","v","#'"]
2024:02:25:21:56:29; 14660.429968833923; 3134574.1032914915; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","y","k","ö","ä","v","#'"]
