2023:11:05:13:02:01; 1586.6223633289337; 1534046.815692707; ["ö","b","o","y","m","x","v","c","l","g","z","j","s","t","e€","d","k","u","i","n","r","a","h","ä","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:13:02:31; 1616.6848630905151; 1522519.4412267436; ["ö","b","o","y","m","x","v","k","c","g","z","j","s","t","e€","d","l","u","i","n","r","a","h","ä",".:","-_","ü","f",",;","+*~","<>|","w","q@","p","#'"]
2023:11:05:13:03:01; 1646.8098652362823; 1474772.6200356968; ["ü","b","o","y","c","x","v","m","l","g","z","j","s","t","e€","d","k","u","i","n","r","a","h","ä","#'","-_","ö","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:13:03:31; 1676.7629878520966; 1468790.7512380683; ["ö","b","o","y","c","x","v","m","l","g","z","j","s","t","e€","d","k","u","i","n","r","a","h","ä","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:13:04:02; 1707.8879880905151; 1463465.3991855383; ["ö","b","o","y","m","x","v","k","l","g","z","j","s","t","e€","d","c","u","i","n","r","a","h","ä",".:","-_","ü","f",",;","+*~","<>|","w","q@","p","#'"]
2023:11:05:13:04:33; 1738.5754520893097; 1463465.3991855383; ["ö","b","o","y","m","x","v","k","l","g","z","j","s","t","e€","d","c","u","i","n","r","a","h","ä",".:","-_","ü","f",",;","+*~","<>|","w","q@","p","#'"]
2023:11:05:13:05:04; 1769.622361421585; 1463398.650214558; ["ö","b","o","y","m","x","v","k","l","g","z","j","s","t","e€","d","c","u","i","n","r","a","h","ä","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:13:05:34; 1800.1379890441895; 1463398.650214558; ["ö","b","o","y","m","x","v","k","l","g","z","j","s","t","e€","d","c","u","i","n","r","a","h","ä","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:13:06:05; 1831.2004871368408; 1463398.650214558; ["ö","b","o","y","m","x","v","k","l","g","z","j","s","t","e€","d","c","u","i","n","r","a","h","ä","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:13:06:36; 1861.9973621368408; 1463398.650214558; ["ö","b","o","y","m","x","v","k","l","g","z","j","s","t","e€","d","c","u","i","n","r","a","h","ä","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:13:07:07; 1892.9504883289337; 1463398.650214558; ["ö","b","o","y","m","x","v","k","l","g","z","j","s","t","e€","d","c","u","i","n","r","a","h","ä","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:13:07:37; 1923.309865474701; 1463398.650214558; ["ö","b","o","y","m","x","v","k","l","g","z","j","s","t","e€","d","c","u","i","n","r","a","h","ä","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:13:08:09; 1954.6848630905151; 1443841.4825141146; ["ö","b","o","f","m","x","v","k","l","g","y","j","s","t","e€","d","c","u","i","n","r","a","h","ä","#'","-_","ü","z",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:13:12:12; 2197.730411052704; 1435640.7289816057; ["ö","b","o","z","m","x","v","k","l","g","y","j","s","t","e€","d","c","u","i","n","r","a","h","ä","#'","p","ü","f",",;","-_","<>|","w","q@","+*~",".:"]
2023:11:05:13:12:42; 2228.0741634368896; 1435640.7289816057; ["ö","b","o","z","m","x","v","k","l","g","y","j","s","t","e€","d","c","u","i","n","r","a","h","ä","#'","p","ü","f",",;","-_","<>|","w","q@","+*~",".:"]
2023:11:05:13:13:13; 2258.777248620987; 1435640.7289816057; ["ö","b","o","z","m","x","v","k","l","g","y","j","s","t","e€","d","c","u","i","n","r","a","h","ä","#'","p","ü","f",",;","-_","<>|","w","q@","+*~",".:"]
2023:11:05:13:13:44; 2289.6991608142853; 1407427.408378675; ["ö","b","o","z","m","x","v","k","l","#'","y","q@","s","t","e€","d","c","u","i","n","r","a","h","ä","g","p","ü","f",",;","-_","<>|","w","j","+*~",".:"]
2023:11:05:13:14:14; 2319.6679224967957; 1407427.408378675; ["ö","b","o","z","m","x","v","k","l","#'","y","q@","s","t","e€","d","c","u","i","n","r","a","h","ä","g","p","ü","f",",;","-_","<>|","w","j","+*~",".:"]
2023:11:05:13:14:45; 2350.4960355758667; 1407427.408378675; ["ö","b","o","z","m","x","v","k","l","#'","y","q@","s","t","e€","d","c","u","i","n","r","a","h","ä","g","p","ü","f",",;","-_","<>|","w","j","+*~",".:"]
2023:11:05:13:15:15; 2380.87104344368; 1407427.408378675; ["ö","b","o","z","m","x","v","k","l","#'","y","q@","s","t","e€","d","c","u","i","n","r","a","h","ä","g","p","ü","f",",;","-_","<>|","w","j","+*~",".:"]
2023:11:05:13:15:47; 2412.449161529541; 1407427.408378675; ["ö","b","o","z","m","x","v","k","l","#'","y","q@","s","t","e€","d","c","u","i","n","r","a","h","ä","g","p","ü","f",",;","-_","<>|","w","j","+*~",".:"]
2023:11:05:13:16:17; 2442.746034860611; 1407427.408378675; ["ö","b","o","z","m","x","v","k","l","#'","y","q@","s","t","e€","d","c","u","i","n","r","a","h","ä","g","p","ü","f",",;","-_","<>|","w","j","+*~",".:"]
2023:11:05:13:20:20; 2686.197196483612; 1407164.1049424377; ["m","b","o","z","ö","x","v","k","l","g","ä",",;","s","t","e€","d","c","u","i","n","r","a","h","q@",".:","p","ü","f","y","j","<>|","w","-_","+*~","#'"]
2023:11:05:13:20:51; 2716.494071006775; 1399102.65283466; ["m","b","o","z","ö","x","v","k","l","g","ä","y","s","t","e€","n","c","u","i","d","r","a","h","q@",",;",".:","ü","f","p","j","<>|","w","-_","+*~","#'"]
2023:11:05:13:21:21; 2746.6503236293793; 1399102.65283466; ["m","b","o","z","ö","x","v","k","l","g","ä","y","s","t","e€","n","c","u","i","d","r","a","h","q@",",;",".:","ü","f","p","j","<>|","w","-_","+*~","#'"]
2023:11:05:13:33:03; 3449.109478712082; 1380334.6182479658; ["h","b","o","z","ö","x","v","k","l","g","ä",",;","s","t","e€","d","c","u","i","n","r","a","m","q@","#'","p","ü","f","y","j","<>|","w","-_","+*~",".:"]
2023:11:05:13:33:34; 3480.281361579895; 1380334.6182479658; ["h","b","o","z","ö","x","v","k","l","g","ä",",;","s","t","e€","d","c","u","i","n","r","a","m","q@","#'","p","ü","f","y","j","<>|","w","-_","+*~",".:"]
2023:11:05:13:34:06; 3511.8594856262207; 1380334.6182479658; ["h","b","o","z","ö","x","v","k","l","g","ä",",;","s","t","e€","d","c","u","i","n","r","a","m","q@","#'","p","ü","f","y","j","<>|","w","-_","+*~",".:"]
2023:11:05:13:34:36; 3542.2813630104065; 1380334.6182479658; ["h","b","o","z","ö","x","v","k","l","g","ä",",;","s","t","e€","d","c","u","i","n","r","a","m","q@","#'","p","ü","f","y","j","<>|","w","-_","+*~",".:"]
2023:11:05:13:35:06; 3572.3282363414764; 1380334.6182479658; ["h","b","o","z","ö","x","v","k","l","g","ä",",;","s","t","e€","d","c","u","i","n","r","a","m","q@","#'","p","ü","f","y","j","<>|","w","-_","+*~",".:"]
2023:11:05:13:35:37; 3602.921966314316; 1375978.4062892918; ["h","b","o","z","g","x","v","k","l","#'","ä",",;","s","t","e€","d","c","u","i","n","r","a","m","q@","p","ö","ü","f","y","j","<>|","w","-_","+*~",".:"]
2023:11:05:13:36:09; 3634.5313663482666; 1375978.4062892918; ["h","b","o","z","g","x","v","k","l","#'","ä",",;","s","t","e€","d","c","u","i","n","r","a","m","q@","p","ö","ü","f","y","j","<>|","w","-_","+*~",".:"]
2023:11:05:13:36:40; 3666.1094510555267; 1375758.4377280541; ["h","b","o","z","g","x","v","k","l","#'","ä","+*~","s","t","e€","d","c","u","i","n","r","a","m","q@","p","ö","ü","f","y","j","<>|","w",",;","-_",".:"]
2023:11:05:13:37:11; 3696.9688622951508; 1375758.4377280541; ["h","b","o","z","g","x","v","k","l","#'","ä","+*~","s","t","e€","d","c","u","i","n","r","a","m","q@","p","ö","ü","f","y","j","<>|","w",",;","-_",".:"]
2023:11:05:13:37:41; 3727.1719505786896; 1375758.4377280541; ["h","b","o","z","g","x","v","k","l","#'","ä","+*~","s","t","e€","d","c","u","i","n","r","a","m","q@","p","ö","ü","f","y","j","<>|","w",",;","-_",".:"]
2023:11:05:13:38:12; 3757.8907372951508; 1375758.4377280541; ["h","b","o","z","g","x","v","k","l","#'","ä","+*~","s","t","e€","d","c","u","i","n","r","a","m","q@","p","ö","ü","f","y","j","<>|","w",",;","-_",".:"]
2023:11:05:13:38:43; 3789.406329393387; 1375758.4377280541; ["h","b","o","z","g","x","v","k","l","#'","ä","+*~","s","t","e€","d","c","u","i","n","r","a","m","q@","p","ö","ü","f","y","j","<>|","w",",;","-_",".:"]
2023:11:05:13:39:14; 3820.0313324928284; 1375758.4377280541; ["h","b","o","z","g","x","v","k","l","#'","ä","+*~","s","t","e€","d","c","u","i","n","r","a","m","q@","p","ö","ü","f","y","j","<>|","w",",;","-_",".:"]
2023:11:05:13:39:45; 3850.8282413482666; 1375758.4377280541; ["h","b","o","z","g","x","v","k","l","#'","ä","+*~","s","t","e€","d","c","u","i","n","r","a","m","q@","p","ö","ü","f","y","j","<>|","w",",;","-_",".:"]
2023:11:05:13:40:15; 3881.269257545471; 1375758.4377280541; ["h","b","o","z","g","x","v","k","l","#'","ä","+*~","s","t","e€","d","c","u","i","n","r","a","m","q@","p","ö","ü","f","y","j","<>|","w",",;","-_",".:"]
