2023:11:05:16:49:34; 2301.849490880966; 1365640.667834595; ["z","a","l","o","ü","#'","p","j","h","c","w","y","n","e€","r","u","k","g","d","i","s","t",".:","<>|","x","+*~","ö","ä","q@","m","v","-_","b","f",",;"]
2023:11:05:16:50:05; 2332.2869744300842; 1365640.667834595; ["z","a","l","o","ü","#'","p","j","h","c","w","y","n","e€","r","u","k","g","d","i","s","t",".:","<>|","x","+*~","ö","ä","q@","m","v","-_","b","f",",;"]
2023:11:05:16:50:35; 2362.238162755966; 1365640.667834595; ["z","a","l","o","ü","#'","p","j","h","c","w","y","n","e€","r","u","k","g","d","i","s","t",".:","<>|","x","+*~","ö","ä","q@","m","v","-_","b","f",",;"]
2023:11:05:16:51:04; 2391.5818724632263; 1365640.667834595; ["z","a","l","o","ü","#'","p","j","h","c","w","y","n","e€","r","u","k","g","d","i","s","t",".:","<>|","x","+*~","ö","ä","q@","m","v","-_","b","f",",;"]
2023:11:05:16:56:02; 2689.691285133362; 1361810.0311018329; ["z","o","a","l","ü","#'","p","w","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","y","<>|","x","+*~","ä","ö","q@","k","b","-_","f","v",",;"]
2023:11:05:16:56:32; 2719.988161087036; 1361810.0311018329; ["z","o","a","l","ü","#'","p","w","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","y","<>|","x","+*~","ä","ö","q@","k","b","-_","f","v",",;"]
2023:11:05:16:58:03; 2810.456916809082; 1351188.090919187; ["z","o","a","l","ü","#'","p","w","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","b","<>|","+*~","x","ä","ö","q@","k","v","f","-_","y",",;"]
2023:11:05:16:59:33; 2900.675660133362; 1346999.0219769424; ["z","o","a","l","ü","#'","p","y","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","w","<>|","+*~","x","ä","ö","q@","k","v","f","-_","b",",;"]
2023:11:05:17:00:03; 2930.488160610199; 1345729.8512950134; ["z","o","a","l","ü","q@","p","y","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","w","<>|","+*~","x","ä","ö","#'","k","v","f","-_","b",",;"]
2023:11:05:17:00:33; 2960.39293718338; 1345729.8512950134; ["z","o","a","l","ü","q@","p","y","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","w","<>|","+*~","x","ä","ö","#'","k","v","f","-_","b",",;"]
2023:11:05:17:01:02; 2989.7991859912872; 1345729.8512950134; ["z","o","a","l","ü","q@","p","y","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","w","<>|","+*~","x","ä","ö","#'","k","v","f","-_","b",",;"]
2023:11:05:17:01:31; 3018.9398095607758; 1345729.8512950134; ["z","o","a","l","ü","q@","p","y","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","w","<>|","+*~","x","ä","ö","#'","k","v","f","-_","b",",;"]
2023:11:05:17:02:02; 3049.455438375473; 1345729.8512950134; ["z","o","a","l","ü","q@","p","y","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","w","<>|","+*~","x","ä","ö","#'","k","v","f","-_","b",",;"]
2023:11:05:17:02:31; 3079.00231051445; 1345729.8512950134; ["z","o","a","l","ü","q@","p","y","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","w","<>|","+*~","x","ä","ö","#'","k","v","f","-_","b",",;"]
2023:11:05:17:03:02; 3109.314811706543; 1345729.8512950134; ["z","o","a","l","ü","q@","p","y","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","w","<>|","+*~","x","ä","ö","#'","k","v","f","-_","b",",;"]
2023:11:05:17:03:32; 3139.42418384552; 1345729.8512950134; ["z","o","a","l","ü","q@","p","y","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","w","<>|","+*~","x","ä","ö","#'","k","v","f","-_","b",",;"]
2023:11:05:17:04:01; 3168.9866852760315; 1345729.8512950134; ["z","o","a","l","ü","q@","p","y","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","w","<>|","+*~","x","ä","ö","#'","k","v","f","-_","b",",;"]
2023:11:05:17:04:31; 3198.533560037613; 1345729.8512950134; ["z","o","a","l","ü","q@","p","y","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","w","<>|","+*~","x","ä","ö","#'","k","v","f","-_","b",",;"]
2023:11:05:17:05:02; 3229.2523090839386; 1345729.8512950134; ["z","o","a","l","ü","q@","p","y","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","w","<>|","+*~","x","ä","ö","#'","k","v","f","-_","b",",;"]
2023:11:05:17:05:31; 3259.033568382263; 1345729.8512950134; ["z","o","a","l","ü","q@","p","y","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","w","<>|","+*~","x","ä","ö","#'","k","v","f","-_","b",",;"]
2023:11:05:17:06:01; 3288.517937898636; 1345729.8512950134; ["z","o","a","l","ü","q@","p","y","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","w","<>|","+*~","x","ä","ö","#'","k","v","f","-_","b",",;"]
2023:11:05:17:06:32; 3319.5648109912872; 1341616.4158860324; ["z","o","a","l","ü","q@","v","y","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","w","<>|",",;","x","ä","ö","#'","k","p","f","-_","b","+*~"]
2023:11:05:17:07:02; 3350.0335626602173; 1341616.4158860324; ["z","o","a","l","ü","q@","v","y","h","c","j",".:","n","e€","r","u","m","g","d","i","s","t","w","<>|",",;","x","ä","ö","#'","k","p","f","-_","b","+*~"]
