2023:10:03:15:15:58; 3353.3529963493347; 1576077.5500650823; ["p","x","b","g","f","z","a","w","m","+*~","y","q@","u","e€","t","d","l","o","i","s","r","n","ü","j","h","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:17:01; 3416.087371826172; 1565361.440870315; ["p","x","b","g","z","f","a","w","m","+*~","y","q@","u","e€","t","d","l","o","i","s","r","n","ü","j","h","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:21:11; 3665.8218111991882; 1554292.5976026482; ["p","x","b","g","f","+*~","a","w","m","z","y","q@","u","e€","t","d","l","o","i","s","r","n","ü","j","h","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:22:13; 3727.978062391281; 1554292.5976026482; ["p","x","b","g","f","+*~","a","w","m","z","y","q@","u","e€","t","d","l","o","i","s","r","n","ü","j","h","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:23:15; 3790.2280611991882; 1554292.5976026482; ["p","x","b","g","f","+*~","a","w","m","z","y","q@","u","e€","t","d","l","o","i","s","r","n","ü","j","h","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:24:18; 3852.6655600070953; 1554292.5976026482; ["p","x","b","g","f","+*~","a","w","m","z","y","q@","u","e€","t","d","l","o","i","s","r","n","ü","j","h","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:25:20; 3914.9155230522156; 1541438.7123833182; ["p","x","b","g","f","z","h","w","m","j","q@","y","a","e€","t","d","l","o","i","s","n","r","ü","+*~","u","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:26:23; 3977.6186859607697; 1541438.7123833182; ["p","x","b","g","f","z","h","w","m","j","q@","y","a","e€","t","d","l","o","i","s","n","r","ü","+*~","u","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:27:25; 4039.6186850070953; 1541438.7123833182; ["p","x","b","g","f","z","h","w","m","j","q@","y","a","e€","t","d","l","o","i","s","n","r","ü","+*~","u","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:28:27; 4101.929907798767; 1541438.7123833182; ["p","x","b","g","f","z","h","w","m","j","q@","y","a","e€","t","d","l","o","i","s","n","r","ü","+*~","u","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:29:29; 4164.226782083511; 1541438.7123833182; ["p","x","b","g","f","z","h","w","m","j","q@","y","a","e€","t","d","l","o","i","s","n","r","ü","+*~","u","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:30:32; 4226.66431927681; 1541438.7123833182; ["p","x","b","g","f","z","h","w","m","j","q@","y","a","e€","t","d","l","o","i","s","n","r","ü","+*~","u","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:31:34; 4289.3205325603485; 1541438.7123833182; ["p","x","b","g","f","z","h","w","m","j","q@","y","a","e€","t","d","l","o","i","s","n","r","ü","+*~","u","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:32:37; 4351.679944038391; 1541438.7123833182; ["p","x","b","g","f","z","h","w","m","j","q@","y","a","e€","t","d","l","o","i","s","n","r","ü","+*~","u","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:33:39; 4414.16495847702; 1541438.7123833182; ["p","x","b","g","f","z","h","w","m","j","q@","y","a","e€","t","d","l","o","i","s","n","r","ü","+*~","u","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:34:42; 4476.664961099625; 1541438.7123833182; ["p","x","b","g","f","z","h","w","m","j","q@","y","a","e€","t","d","l","o","i","s","n","r","ü","+*~","u","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:35:45; 4539.836833000183; 1541438.7123833182; ["p","x","b","g","f","z","h","w","m","j","q@","y","a","e€","t","d","l","o","i","s","n","r","ü","+*~","u","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:36:47; 4601.930547714233; 1537859.7228399403; ["v","x","b","g","f","z","h","w","m","j","q@","y","a","e€","t","d","l","o","i","s","n","r","ü","+*~","u","-_","#'","c","<>|","p",".:","k","ö","ä",",;"]
2023:10:03:15:37:52; 4666.709169149399; 1537859.7228399403; ["v","x","b","g","f","z","h","w","m","j","q@","y","a","e€","t","d","l","o","i","s","n","r","ü","+*~","u","-_","#'","c","<>|","p",".:","k","ö","ä",",;"]
2023:10:03:15:38:56; 4731.287273406982; 1537859.7228399403; ["v","x","b","g","f","z","h","w","m","j","q@","y","a","e€","t","d","l","o","i","s","n","r","ü","+*~","u","-_","#'","c","<>|","p",".:","k","ö","ä",",;"]
2023:10:03:15:39:58; 4793.552935838699; 1537859.7228399403; ["v","x","b","g","f","z","h","w","m","j","q@","y","a","e€","t","d","l","o","i","s","n","r","ü","+*~","u","-_","#'","c","<>|","p",".:","k","ö","ä",",;"]
2023:10:03:15:41:02; 4856.771659374237; 1535025.049279338; ["v","x","b","g","f","z","h","w","m","j","q@","y","a","e€","t","d","l","o","i","s","n","r",".:","+*~","u","-_","#'","c","<>|","p","ü","k","ö","ä",",;"]
2023:10:03:15:42:05; 4919.771700382233; 1535025.049279338; ["v","x","b","g","f","z","h","w","m","j","q@","y","a","e€","t","d","l","o","i","s","n","r",".:","+*~","u","-_","#'","c","<>|","p","ü","k","ö","ä",",;"]
2023:10:03:15:43:07; 4982.459123373032; 1530920.1109917734; ["v","x","b","g","f","z","l","w","m","j","y","q@","a","e€","t","d","h","o","i","s","n","r","k","+*~","u","-_","#'","c","<>|","p",".:","ü","ö","ä",",;"]
